case_id,field,date,model_flag,model_confidence,rendered_advisory_path,primary_driver_index,secondary_driver_index,expert_confidence (1-5),agronomic_notes
case_070,Wheat_Field_B,2026-07-14,Early_Stress_Detected,0.721,reports/advisories/case_070_advisory.png,,,,
case_064,Wheat_Field_B,2026-07-08,Early_Stress_Detected,0.742,reports/advisories/case_064_advisory.png,,,,
case_096,Wheat_Field_B,2026-07-12,Early_Stress_Detected,0.832,reports/advisories/case_096_advisory.png,,,,
case_048,Wheat_Field_B,2026-07-20,Early_Stress_Detected,0.839,reports/advisories/case_048_advisory.png,,,,
case_080,Wheat_Field_B,2026-07-24,Early_Stress_Detected,0.875,reports/advisories/case_080_advisory.png,,,,
case_054,Wheat_Field_B,2026-07-26,Early_Stress_Detected,0.808,reports/advisories/case_054_advisory.png,,,,
case_026,Wheat_Field_B,2026-07-26,Early_Stress_Detected,0.905,reports/advisories/case_026_advisory.png,,,,
case_030,Wheat_Field_B,2026-07-02,Early_Stress_Detected,0.933,reports/advisories/case_030_advisory.png,,,,
case_060,Wheat_Field_B,2026-07-04,Early_Stress_Detected,0.945,reports/advisories/case_060_advisory.png,,,,
case_066,Wheat_Field_B,2026-07-10,Early_Stress_Detected,0.894,reports/advisories/case_066_advisory.png,,,,
case_038,Wheat_Field_B,2026-07-10,Early_Stress_Detected,0.943,reports/advisories/case_038_advisory.png,,,,
case_002,Wheat_Field_B,2026-07-02,Early_Stress_Detected,0.757,reports/advisories/case_002_advisory.png,,,,
case_014,Wheat_Field_B,2026-07-14,Early_Stress_Detected,0.749,reports/advisories/case_014_advisory.png,,,,
case_050,Wheat_Field_B,2026-07-22,Early_Stress_Detected,0.732,reports/advisories/case_050_advisory.png,,,,
case_018,Wheat_Field_B,2026-07-18,Early_Stress_Detected,0.945,reports/advisories/case_018_advisory.png,,,,
case_042,Wheat_Field_B,2026-07-14,Early_Stress_Detected,0.775,reports/advisories/case_042_advisory.png,,,,
case_036,Wheat_Field_B,2026-07-08,Early_Stress_Detected,0.818,reports/advisories/case_036_advisory.png,,,,
case_074,Wheat_Field_B,2026-07-18,Early_Stress_Detected,0.878,reports/advisories/case_074_advisory.png,,,,
case_006,Wheat_Field_B,2026-07-06,Early_Stress_Detected,0.793,reports/advisories/case_006_advisory.png,,,,
case_008,Wheat_Field_B,2026-07-08,Early_Stress_Detected,0.79,reports/advisories/case_008_advisory.png,,,,
case_090,Wheat_Field_B,2026-07-06,Early_Stress_Detected,0.806,reports/advisories/case_090_advisory.png,,,,
case_012,Wheat_Field_B,2026-07-12,Early_Stress_Detected,0.952,reports/advisories/case_012_advisory.png,,,,
case_084,Wheat_Field_B,2026-07-28,Early_Stress_Detected,0.791,reports/advisories/case_084_advisory.png,,,,
case_072,Wheat_Field_B,2026-07-16,Early_Stress_Detected,0.891,reports/advisories/case_072_advisory.png,,,,
case_092,Wheat_Field_B,2026-07-08,Early_Stress_Detected,0.843,reports/advisories/case_092_advisory.png,,,,
case_068,Wheat_Field_B,2026-07-12,Early_Stress_Detected,0.759,reports/advisories/case_068_advisory.png,,,,
case_056,Wheat_Field_B,2026-07-28,Early_Stress_Detected,0.797,reports/advisories/case_056_advisory.png,,,,
case_003,Potato_Field_A,2026-07-03,Early_Stress_Detected,0.928,reports/advisories/case_003_advisory.png,,,,
case_009,Potato_Field_A,2026-07-09,Early_Stress_Detected,0.908,reports/advisories/case_009_advisory.png,,,,
case_033,Potato_Field_A,2026-07-05,Early_Stress_Detected,0.823,reports/advisories/case_033_advisory.png,,,,
case_093,Potato_Field_A,2026-07-09,Early_Stress_Detected,0.876,reports/advisories/case_093_advisory.png,,,,
case_069,Potato_Field_A,2026-07-13,Early_Stress_Detected,0.722,reports/advisories/case_069_advisory.png,,,,
case_087,Potato_Field_A,2026-07-03,Early_Stress_Detected,0.743,reports/advisories/case_087_advisory.png,,,,
case_051,Potato_Field_A,2026-07-23,Early_Stress_Detected,0.777,reports/advisories/case_051_advisory.png,,,,
case_081,Potato_Field_A,2026-07-25,Early_Stress_Detected,0.949,reports/advisories/case_081_advisory.png,,,,
case_015,Potato_Field_A,2026-07-15,Early_Stress_Detected,0.938,reports/advisories/case_015_advisory.png,,,,
case_057,Potato_Field_A,2026-07-01,Early_Stress_Detected,0.862,reports/advisories/case_057_advisory.png,,,,
case_099,Potato_Field_A,2026-07-15,Early_Stress_Detected,0.845,reports/advisories/case_099_advisory.png,,,,
case_027,Potato_Field_A,2026-07-27,Early_Stress_Detected,0.748,reports/advisories/case_027_advisory.png,,,,
case_045,Potato_Field_A,2026-07-17,Early_Stress_Detected,0.801,reports/advisories/case_045_advisory.png,,,,
case_063,Potato_Field_A,2026-07-07,Early_Stress_Detected,0.853,reports/advisories/case_063_advisory.png,,,,
case_075,Potato_Field_A,2026-07-19,Early_Stress_Detected,0.808,reports/advisories/case_075_advisory.png,,,,
case_021,Potato_Field_A,2026-07-21,Early_Stress_Detected,0.785,reports/advisories/case_021_advisory.png,,,,
case_039,Potato_Field_A,2026-07-11,Early_Stress_Detected,0.929,reports/advisories/case_039_advisory.png,,,,
